unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
8CAC1318-6C88-0253-E053-6B04A8C08E51,212000,12/04/2019,LE7 9XP,T,Y,F,20,MOUNT VIEW ROAD,SCRAPTOFT,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6C88-0253-E053-6B04A8C08E51/current,
8CAC1318-6C7D-0253-E053-6B04A8C08E51,268000,26/04/2019,LE7 9XW,D,Y,F,2,FOX GROVE,SCRAPTOFT,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6C7D-0253-E053-6B04A8C08E51/current,
8A78B2AF-BFCC-5CB0-E053-6B04A8C0F504,414000,12/04/2019,LE7 9YL,D,Y,F,2,BERT COLE LANE,SCRAPTOFT,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BFCC-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BE63-5CB0-E053-6B04A8C0F504,225000,30/04/2019,LE8 0EY,S,N,F,219,DAIRY WAY,KIBWORTH HARCOURT,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BE63-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BD29-5CB0-E053-6B04A8C0F504,150000,16/04/2019,LE8 0HD,T,N,F,10,DOVER STREET,KIBWORTH BEAUCHAMP,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BD29-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BD42-5CB0-E053-6B04A8C0F504,360000,03/04/2019,LE8 0JW,D,N,F,2,THE DRIVE,KIBWORTH BEAUCHAMP,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BD42-5CB0-E053-6B04A8C0F504/current,
9FF0D969-E83F-11ED-E053-6C04A8C06383,320000,26/04/2019,LE8 0NQ,T,N,F,102A,MAIN STREET,KIBWORTH HARCOURT,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/9FF0D969-E83F-11ED-E053-6C04A8C06383/current,
8A78B2AF-BDC2-5CB0-E053-6B04A8C0F504,486000,18/04/2019,LE8 0PF,D,N,F,27,FOLLEY ROAD,KIBWORTH BEAUCHAMP,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BDC2-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BC0D-5CB0-E053-6B04A8C0F504,460000,18/04/2019,LE8 0QL,D,N,F,"SMETHETON HOUSE, 11A",MILL LANE,SMEETON WESTERBY,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BC0D-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BC83-5CB0-E053-6B04A8C0F504,315000,18/04/2019,LE8 0SF,T,N,F,1,CHURCH CLOSE,KIBWORTH BEAUCHAMP,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BC83-5CB0-E053-6B04A8C0F504/current,
8A78B2B0-6418-5CB0-E053-6B04A8C0F504,205000,26/04/2019,LE8 0SN,T,N,F,42,DAIRY WAY,KIBWORTH HARCOURT,LEICESTER,HARBOROUGH,LEICESTERSHIRE,B,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2B0-6418-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BFDB-5CB0-E053-6B04A8C0F504,420000,05/04/2019,LE8 0UT,D,Y,F,13,CHURCHILL AVENUE,KIBWORTH BEAUCHAMP,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BFDB-5CB0-E053-6B04A8C0F504/current,
8F1B26BD-E279-53DB-E053-6C04A8C03649,362000,30/04/2019,LE8 0UT,D,Y,F,14,CHURCHILL AVENUE,KIBWORTH BEAUCHAMP,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-E279-53DB-E053-6C04A8C03649/current,
87E1551E-5660-6405-E053-6C04A8C0B2EE,236750,05/04/2019,LE8 4AU,S,N,F,10,RIPON DRIVE,BLABY,LEICESTER,BLABY,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-5660-6405-E053-6C04A8C0B2EE/current,
8A78B2AF-BE39-5CB0-E053-6B04A8C0F504,210000,05/04/2019,LE8 4BJ,S,N,F,5,ROWAN CLOSE,BLABY,LEICESTER,BLABY,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BE39-5CB0-E053-6B04A8C0F504/current,
8A78B2B0-6408-5CB0-E053-6B04A8C0F504,150000,01/04/2019,LE8 4DA,T,N,F,17,AUBURN ROAD,BLABY,LEICESTER,BLABY,LEICESTERSHIRE,B,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2B0-6408-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BC5E-5CB0-E053-6B04A8C0F504,187500,18/04/2019,LE8 4GH,S,N,F,11,JAMES STREET,BLABY,LEICESTER,BLABY,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BC5E-5CB0-E053-6B04A8C0F504/current,
